Sean Longstaff,ENG,MF,25,15,11,1056.0,1.0,2.0,0.0,2.0,0.0,1.2,1.8,Newcastle-United
Callum Wilson,ENG,FW,30,11,10,787.0,6.0,2.0,1.0,1.0,0.0,6.1,0.6,Newcastle-United
Jacob Murphy,ENG,FW,27,15,5,489.0,1.0,1.0,0.0,0.0,0.0,0.8,0.6,Newcastle-United
Matt Targett,ENG,DF,27,10,4,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,Newcastle-United
Allan Saint-Maximin,FRA,FW,25,7,4,378.0,1.0,3.0,0.0,1.0,0.0,0.8,1.2,Newcastle-United
Ryan Fraser,SCO,FW,28,8,3,313.0,0.0,0.0,0.0,1.0,0.0,0.3,0.4,Newcastle-United
Alexander Isak,SWE,FW,23,3,3,242.0,2.0,0.0,1.0,0.0,0.0,2.2,0.3,Newcastle-United
Chris Wood,NZL,FW,30,14,2,272.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3,Newcastle-United
Jamaal Lascelles,ENG,DF,29,4,1,107.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Newcastle-United
Elliot Anderson,SCO,"FW,MF",20,7,0,103.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Newcastle-United
Jonjo Shelvey,ENG,MF,30,3,0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Javier Manquillo,ESP,DF,28,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Jamal Lewis,NIR,DF,24,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Emil Krafth,SWE,DF,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Matt Ritchie,SCO,FW,33,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle-United
Karl Darlow,ENG,GK,32,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Martin Dúbravka,SVK,GK,33,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Paul Dummett,WAL,DF,31,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Loris Karius,GER,GK,29,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Hugo Lloris,FRA,GK,35,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Harry Kane,ENG,FW,29,15,15,1335.0,12.0,1.0,2.0,4.0,0.0,9.4,2.4,Tottenham-Hotspur
Eric Dier,ENG,DF,28,15,14,1285.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,Tottenham-Hotspur
Pierre Højbjerg,DEN,MF,27,14,14,1244.0,3.0,2.0,0.0,1.0,0.0,0.9,1.3,Tottenham-Hotspur
Rodrigo Bentancur,URU,MF,25,14,13,1182.0,4.0,2.0,0.0,5.0,0.0,1.4,0.8,Tottenham-Hotspur
Son Heung-min,KOR,"MF,FW",30,13,12,1030.0,3.0,2.0,0.0,0.0,0.0,3.5,2.7,Tottenham-Hotspur
Ben Davies,WAL,DF,29,12,11,995.0,2.0,1.0,0.0,1.0,0.0,0.5,1.3,Tottenham-Hotspur
Emerson,BRA,DF,23,12,11,899.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3,Tottenham-Hotspur
Ivan Perišić,CRO,"DF,MF",33,15,9,833.0,0.0,4.0,0.0,2.0,0.0,0.9,3.0,Tottenham-Hotspur
Ryan Sessegnon,ENG,DF,22,12,8,662.0,2.0,0.0,0.0,3.0,0.0,1.4,0.7,Tottenham-Hotspur
Cristian Romero,ARG,DF,24,8,7,658.0,0.0,0.0,0.0,1.0,0.0,0.6,0.3,Tottenham-Hotspur
Dejan Kulusevski,SWE,"MF,FW",22,9,7,611.0,1.0,5.0,0.0,0.0,0.0,1.0,2.2,Tottenham-Hotspur
Clément Lenglet,FRA,DF,27,8,7,571.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,Tottenham-Hotspur
Yves Bissouma,MLI,MF,26,14,6,606.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,Tottenham-Hotspur
Davinson Sánchez,COL,DF,26,10,6,531.0,0.0,0.0,0.0,1.0,0.0,0.3,0.1,Tottenham-Hotspur
Richarlison,BRA,"MF,FW",25,10,5,439.0,0.0,2.0,0.0,2.0,0.0,1.6,1.3,Tottenham-Hotspur
Matt Doherty,IRL,DF,30,8,3,351.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Tottenham-Hotspur
Oliver Skipp,ENG,MF,22,6,2,130.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Tottenham-Hotspur
Lucas Moura,BRA,"MF,DF",30,8,0,98.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Tottenham-Hotspur
Bryan,ESP,MF,21,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Djed Spence,ENG,"DF,MF",22,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Tottenham-Hotspur
Fraser Forster,ENG,GK,34,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Pape Matar Sarr,SEN,MF,20,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Japhet Tanganga,ENG,DF,23,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Harvey White,ENG,MF,21,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
David de Gea,ESP,GK,32,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Manchester-United
Lisandro Martínez,ARG,DF,24,14,14,1204.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,Manchester-United
Bruno Fernandes,POR,"MF,FW",28,13,13,1169.0,2.0,1.0,0.0,5.0,0.0,2.0,3.2,Manchester-United
Diogo Dalot,POR,DF,23,13,13,1165.0,0.0,1.0,0.0,5.0,0.0,0.6,1.3,Manchester-United
Marcus Rashford,ENG,FW,25,14,13,1126.0,4.0,2.0,0.0,1.0,0.0,4.2,2.0,Manchester-United
Christian Eriksen,DEN,MF,30,13,12,1043.0,1.0,4.0,0.0,1.0,0.0,2.4,1.8,Manchester-United
Jadon Sancho,ENG,FW,22,10,10,714.0,2.0,1.0,0.0,0.0,0.0,1.6,0.8,Manchester-United
Luke Shaw,ENG,DF,27,10,9,783.0,0.0,1.0,0.0,3.0,0.0,0.2,1.4,Manchester-United
Raphaël Varane,FRA,DF,29,10,8,684.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Manchester-United
